team,bp_xwoba_against,bp_k_rate,n_bp_bip,bp_bb_rate,bp_weak_z
ATH,0.31736221661055,0.2166105499438833,891,0.025974025974025976,0.182
ATL,0.2911012980132451,0.2503311258278146,755,0.020079099482811075,-1.137
AZ,0.30031561204481794,0.20448179271708683,714,0.020589166930630346,-0.674
BAL,0.31484540352811463,0.2227122381477398,907,0.023939630497007546,0.055
BOS,0.32204501674641145,0.24162679425837322,836,0.021288360519767763,0.417
CHC,0.32890596654275095,0.21561338289962825,807,0.02208890100899918,0.761
CIN,0.3566155948081264,0.23024830699774265,886,0.03440648808060948,2.153
CLE,0.30455492327044026,0.27547169811320754,795,0.022276555283890248,-0.461
COL,0.3156705619047619,0.21904761904761905,1050,0.020810272304626964,0.097
CWS,0.32927988264794383,0.2136409227683049,997,0.02760036496350365,0.78
DET,0.30639769353007945,0.2224744608399546,881,0.025820333512641205,-0.369
HOU,0.33695453735926306,0.20266120777891505,977,0.03222703222703223,1.166
KC,0.3319538861578266,0.2147477360931436,773,0.028271640921014283,0.915
LAA,0.33051328944381386,0.21679909194097616,881,0.02855051244509517,0.842
LAD,0.2891567837037037,0.2651851851851852,675,0.02386400784570121,-1.235
MIA,0.29923887176325525,0.2527743526510481,811,0.028362819432743613,-0.728
MIL,0.29914879644970416,0.24378698224852072,845,0.02564102564102564,-0.733
MIN,0.3264926877934272,0.19014084507042253,852,0.027503337783711616,0.64
NYM,0.2988204773706897,0.2478448275862069,928,0.02175543885971493,-0.749
NYY,0.2897910725388601,0.23056994818652848,772,0.021700879765395895,-1.203
PHI,0.2847381064871481,0.25703794369645044,817,0.019791094007696537,-1.456
PIT,0.3210516934225195,0.23634336677814938,897,0.025222551928783383,0.367
SD,0.2700373832199547,0.25963718820861675,882,0.023302430468554246,-2.195
SEA,0.32487545,0.23783783783783785,740,0.02161339421613394,0.559
SF,0.3007397598425197,0.2073490813648294,762,0.028169014084507043,-0.653
STL,0.3405128129496403,0.2038369304556355,834,0.027848101265822784,1.344
TB,0.33348557981220656,0.2112676056338028,852,0.021588486140724946,0.991
TEX,0.3128417273901809,0.19638242894056848,774,0.024309723889555823,-0.045
TOR,0.2961699804347826,0.2597826086956522,920,0.02044513457556936,-0.882
WSH,0.33864919427036705,0.18710832587287377,1117,0.023603793466807164,1.251
