season,week,market,side,player,line,price,book,model_p,mkt_p,won,profit,logged,position,team,snap_share,thin
2026,3,ATD_longshot,Yes,Quinshon Judkins,0.5,3500,draftkings,0.391,0.0277777777777777,,,2026-09-20,RB,CLE,0.66,False
2026,3,ATD_longshot,Yes,Tetairoa McMillan,0.5,7000,fanatics,0.368,0.0151515151515151,,,2026-09-20,WR/TE,CAR,0.81,False
2026,3,ATD_longshot,Yes,Raheim Sanders,0.5,9000,draftkings,0.341,0.0125367590156322,,,2026-09-20,RB,CLE,0.27,False
2026,3,ATD_longshot,Yes,Jalen Coker,0.5,9000,draftkings,0.331,0.0109890109890109,,,2026-09-20,WR/TE,CAR,0.8,False
2026,3,ATD_longshot,Yes,Elic Ayomanor,0.5,15000,draftkings,0.326,0.0199779249448123,,,2026-09-20,WR/TE,TEN,0.53,False
2026,3,ATD_longshot,Yes,Xavier Legette,0.5,10000,fanatics,0.304,0.0111233345556777,,,2026-09-20,WR/TE,CAR,0.52,False
2026,3,ATD_longshot,Yes,Tee Higgins,0.5,3500,draftkings,0.324,0.032258064516129,,,2026-09-20,WR/TE,CIN,0.72,False
2026,3,ATD_longshot,Yes,Rhamondre Stevenson,0.5,4500,betmgm,0.316,0.024390243902439,,,2026-09-20,RB,NE,0.6,False
2026,3,ATD_longshot,Yes,Romeo Doubs,0.5,18000,draftkings,0.296,0.0099009900990099,,,2026-09-20,WR/TE,NE,0.61,False
2026,3,ATD_longshot,Yes,Tony Pollard,0.5,6500,fanduel,0.301,0.016504329004329,,,2026-09-20,RB,TEN,0.54,False
2026,3,ATD_longshot,Yes,Mitchell Evans,0.5,14000,draftkings,0.287,0.008496594340285,,,2026-09-20,WR/TE,CAR,0.49,False
2026,3,ATD_longshot,Yes,Bryce Young,0.5,6000,fanatics,0.278,0.0178571428571428,,,2026-09-20,QB,CAR,0.92,False
2026,3,ATD_longshot,Yes,Mike Gesicki,0.5,7500,fanduel,0.279,0.0196078431372549,,,2026-09-20,WR/TE,CIN,0.34,False
2026,3,ATD_longshot,Yes,Gunnar Helm,0.5,17000,draftkings,0.263,0.0058479532163742,,,2026-09-20,WR/TE,TEN,0.81,False
2026,3,ATD_longshot,Yes,Tez Johnson,0.5,5500,fanduel,0.277,0.024390243902439,,,2026-09-20,WR/TE,TB,0.26,False
2026,3,ATD_longshot,Yes,Chimere Dike,0.5,13000,draftkings,0.256,0.0076335877862595,,,2026-09-20,WR/TE,TEN,0.06,False
2026,3,ATD_longshot,Yes,Mack Hollins,0.5,13000,draftkings,0.262,0.0138790664780763,,,2026-09-20,WR/TE,NE,0.7,False
2026,3,ATD_longshot,Yes,Harold Fannin Jr.,0.5,6000,fanduel,0.263,0.0196078431372549,,,2026-09-20,WR/TE,CLE,0.84,False
2026,3,ATD_longshot,Yes,Jerry Jeudy,0.5,7000,draftkings,0.259,0.0196078431372549,,,2026-09-20,WR/TE,CLE,0.61,False
2026,3,ATD_longshot,Yes,Hunter Henry,0.5,15000,draftkings,0.245,0.0131472163609803,,,2026-09-20,WR/TE,NE,0.83,False
2026,3,ATD_longshot,Yes,Eli Raridon,0.5,20000,draftkings,0.232,0.0049751243781094,,,2026-09-20,WR/TE,NE,0.37,False
2026,3,ATD_longshot,Yes,Jalen Hurts,0.5,2500,williamhill_us,0.266,0.0434782608695652,,,2026-09-20,QB,PHI,1.0,False
2026,3,ATD_longshot,Yes,Drake Maye,0.5,6600,betmgm,0.238,0.0217391304347826,,,2026-09-20,QB,NE,1.0,False
2026,3,ATD_longshot,Yes,Tyjae Spears,0.5,9000,draftkings,0.225,0.0109890109890109,,,2026-09-20,RB,TEN,0.43,False
2026,3,ATD_longshot,Yes,Aaron Jones,0.5,14000,draftkings,0.231,0.0178571428571428,,,2026-09-20,RB,MIN,0.64,False
2026,3,ATD_longshot,Yes,Andrei Iosivas,0.5,10000,draftkings,0.224,0.0159708249496981,,,2026-09-20,WR/TE,CIN,0.57,False
2026,3,ATD_longshot,Yes,Adonai Mitchell,0.5,2700,fanduel,0.237,0.04,,,2026-09-20,WR/TE,NYJ,0.75,False
2026,3,ATD_longshot,Yes,Justin Jefferson,0.5,12000,draftkings,0.227,0.0344827586206896,,,2026-09-20,WR/TE,MIN,0.96,False
2026,3,ATD_longshot,Yes,Dontayvion Wicks,0.5,1900,fanduel,0.243,0.0527777777777777,,,2026-09-20,WR/TE,PHI,0.77,False
2026,3,ATD_longshot,Yes,Jaylen Warren,0.5,4000,fanduel,0.222,0.032258064516129,,,2026-09-20,RB,PIT,0.54,False
2026,3,ATD_longshot,Yes,DeMario Douglas,0.5,20000,draftkings,0.201,0.0119927485706317,,,2026-09-20,WR/TE,NE,0.54,False
2026,3,ATD_longshot,Yes,Wan'Dale Robinson,0.5,9000,draftkings,0.195,0.0109890109890109,,,2026-09-20,WR/TE,TEN,0.68,False
2026,3,ATD_longshot,Yes,Tanner Hudson,0.5,13000,draftkings,0.185,0.0076335877862595,,,2026-09-20,WR/TE,CIN,0.09,False
2026,3,ATD_longshot,Yes,Jordan Addison,0.5,19000,draftkings,0.204,0.0277777777777777,,,2026-09-20,WR/TE,MIN,0.85,False
2026,3,ATD_longshot,Yes,Tommy Tremble,0.5,16000,draftkings,0.178,0.0080560851116167,,,2026-09-20,WR/TE,CAR,0.56,False
2026,3,ATD_longshot,Yes,Geno Smith,0.5,7000,fanduel,0.182,0.0217391304347826,,,2026-09-20,QB,NYJ,1.0,False
2026,3,ATD_longshot,Yes,Daniel Bellinger,0.5,17000,draftkings,0.165,0.0058479532163742,,,2026-09-20,WR/TE,TEN,0.36,False
2026,3,ATD_longshot,Yes,Baker Mayfield,0.5,2800,fanatics,0.197,0.0434782608695652,,,2026-09-20,QB,TB,1.0,False
2026,3,ATD_longshot,Yes,DK Metcalf,0.5,2500,fanduel,0.204,0.0526315789473684,,,2026-09-20,WR/TE,PIT,0.96,False
2026,3,ATD_longshot,Yes,Samaje Perine,0.5,4000,fanduel,0.178,0.0277777777777777,,,2026-09-20,RB,CIN,0.34,False
2026,3,ATD_longshot,Yes,Arian Smith,0.5,13000,draftkings,0.157,0.0087672889426347,,,2026-09-20,WR/TE,NYJ,0.02,False
2026,3,ATD_longshot,Yes,Bijan Robinson,0.5,4000,draftkings,0.164,0.024390243902439,,,2026-09-20,RB,ATL,0.64,False
2026,3,ATD_longshot,Yes,Woody Marks,0.5,1700,draftkings,0.201,0.0666666666666666,,,2026-09-20,RB,HOU,0.49,False
2026,3,ATD_longshot,Yes,Derius Davis,0.5,2000,draftkings,0.195,0.0625,,,2026-09-20,WR/TE,LAC,0.15,False
2026,3,ATD_longshot,Yes,Jeremy Ruckert,0.5,9000,draftkings,0.147,0.0163934426229508,,,2026-09-20,WR/TE,NYJ,0.39,False
2026,3,ATD_longshot,Yes,T.J. Hockenson,0.5,20000,draftkings,0.152,0.024390243902439,,,2026-09-20,WR/TE,MIN,0.68,False
2026,3,ATD_longshot,Yes,Connor Heyward,0.5,2200,fanatics,0.183,0.0555555555555555,,,2026-09-20,RB,LV,0.39,False
2026,3,ATD_longshot,Yes,Mason Taylor,0.5,4500,draftkings,0.15,0.024390243902439,,,2026-09-20,WR/TE,NYJ,0.56,False
2026,3,ATD_longshot,Yes,Deshaun Watson,0.5,8000,draftkings,0.139,0.0136212008895478,,,2026-09-20,QB,CLE,1.0,False
2026,3,ATD_longshot,Yes,Quintin Morris,0.5,4000,fanatics,0.161,0.0384615384615384,,,2026-09-20,WR/TE,JAX,0.32,False
2026,3,ATD_longshot,Yes,Pat Freiermuth,0.5,4500,fanduel,0.146,0.0277777777777777,,,2026-09-20,WR/TE,PIT,0.7,False
2026,3,ATD_longshot,Yes,Drew Sample,0.5,16000,draftkings,0.127,0.0099009900990099,,,2026-09-20,WR/TE,CIN,0.63,False
2026,3,ATD_longshot,Yes,Drake London,0.5,5000,fanatics,0.137,0.0217391304347826,,,2026-09-20,WR/TE,ATL,0.8,False
2026,3,ATD_longshot,Yes,Jahdae Walker,0.5,12500,williamhill_us,0.121,0.0089187490177589,,,2026-09-20,WR/TE,CHI,0.27,False
2026,3,ATD_longshot,Yes,Corey Kiner,0.5,10000,fanatics,0.124,0.0123456790123456,,,2026-09-20,RB,NE,0.09,False
2026,3,ATD_longshot,Yes,KC Concepcion,0.5,6500,fanduel,0.129,0.0206734867860187,,,2026-09-20,WR/TE,CLE,0.68,False
2026,3,ATD_longshot,Yes,D'Andre Swift,0.5,4000,fanduel,0.139,0.032258064516129,,,2026-09-20,RB,CHI,0.62,False
2026,3,ATD_longshot,Yes,Roman Wilson,0.5,5000,fanduel,0.133,0.032258064516129,,,2026-09-20,WR/TE,PIT,0.67,False
2026,3,ATD_longshot,Yes,AJ Dillon,0.5,3300,fanduel,0.132,0.0344827586206896,,,2026-09-20,RB,CAR,0.08,False
2026,3,ATD_longshot,Yes,Rome Odunze,0.5,4000,fanduel,0.128,0.0311302681992337,,,2026-09-20,WR/TE,CHI,0.66,False
2026,3,ATD_longshot,Yes,Jonnu Smith,0.5,1700,draftkings,0.159,0.0662393162393162,,,2026-09-20,WR/TE,GB,0.34,False
2026,3,ATD_longshot,Yes,Joe Burrow,0.5,11000,draftkings,0.104,0.0146180110968843,,,2026-09-20,QB,CIN,1.0,False
2026,3,ATD_longshot,Yes,Isaiah Williams,0.5,4500,fanduel,0.111,0.024390243902439,,,2026-09-20,WR/TE,NYJ,0.71,False
2026,3,ATD_longshot,Yes,Josh Oliver,0.5,40000,draftkings,0.103,0.0163934426229508,,,2026-09-20,WR/TE,MIN,0.62,False
2026,3,ATD_longshot,Yes,Darnell Washington,0.5,7000,fanduel,0.104,0.0196078431372549,,,2026-09-20,WR/TE,PIT,0.58,False
2026,3,ATD_longshot,Yes,Skyy Moore,0.5,4000,draftkings,0.116,0.0339342523860021,,,2026-09-20,WR/TE,GB,0.21,False
2026,3,ATD_longshot,Yes,C.J. Stroud,0.5,5000,fanatics,0.099,0.024390243902439,,,2026-09-20,QB,HOU,1.0,False
2026,3,ATD_longshot,Yes,Colston Loveland,0.5,3500,fanduel,0.102,0.032258064516129,,,2026-09-20,WR/TE,CHI,0.86,False
2026,3,ATD_longshot,Yes,Kyle Pitts,0.5,8000,fanatics,0.082,0.0143695608176482,,,2026-09-20,WR/TE,ATL,0.51,False
2026,3,ATD_longshot,Yes,Brian Robinson,0.5,8000,draftkings,0.077,0.0132150930272996,,,2026-09-20,RB,ATL,0.36,False
2026,3,ATD_longshot,Yes,Carson Wentz,0.5,40000,draftkings,0.073,0.0109890109890109,,,2026-09-20,QB,MIN,0.92,False
2026,3,ATD_longshot,Yes,Kirk Cousins,0.5,3000,fanatics,0.104,0.0434782608695652,,,2026-09-20,QB,LV,1.0,False
2026,3,ATD_longshot,Yes,Cole Kmet,0.5,9000,draftkings,0.071,0.0116279069767441,,,2026-09-20,WR/TE,CHI,0.63,False
2026,3,ATD_longshot,Yes,Will Shipley,0.5,6500,draftkings,0.075,0.0157724788872329,,,2026-09-20,RB,PHI,0.34,False
2026,3,ATD_longshot,Yes,Jaylin Noel,0.5,1800,draftkings,0.117,0.0625,,,2026-09-20,WR/TE,HOU,0.45,False
2026,3,ATD_longshot,Yes,Jahan Dotson,0.5,10000,fanatics,0.068,0.0138790664780763,,,2026-09-20,WR/TE,ATL,0.69,False
2026,3,ATD_longshot,Yes,Kyle Monangai,0.5,4000,draftkings,0.104,0.05,,,2026-09-20,RB,CHI,0.39,False
2026,3,ATD_longshot,Yes,Cade Stover,0.5,6000,draftkings,0.081,0.0277777777777777,,,2026-09-20,WR/TE,HOU,0.2,False
2026,3,ATD_longshot,Yes,Carnell Tate,0.5,8000,draftkings,0.065,0.0123456790123456,,,2026-09-20,WR/TE,TEN,0.81,False
2026,3,ATD_longshot,Yes,Aaron Rodgers,0.5,10000,fanatics,0.068,0.0217391304347826,,,2026-09-20,QB,PIT,0.98,False
2026,3,ATD_longshot,Yes,Ameer Abdullah,0.5,1700,fanatics,0.114,0.0678733031674208,,,2026-09-20,RB,JAX,0.1,False
2026,3,ATD_longshot,Yes,Olamide Zaccheaus,0.5,5000,fanatics,0.066,0.0236928104575163,,,2026-09-20,WR/TE,ATL,0.36,False
2026,3,ATD_longshot,Yes,Jordan Love,0.5,2000,draftkings,0.102,0.0622710622710622,,,2026-09-20,QB,GB,1.0,False
2026,3,ATD_longshot,Yes,Brady Russell,0.5,3500,draftkings,0.061,0.0294117647058823,,,2026-09-20,RB,SEA,0.39,False
2026,3,ATD_longshot,Yes,DeeJay Dallas,0.5,30000,draftkings,0.054,0.0277777777777777,,,2026-09-20,RB,MIN,0.12,False
2026,3,ATD_longshot,Yes,Jared Wayne,0.5,3500,draftkings,0.063,0.0384615384615384,,,2026-09-20,WR/TE,HOU,0.41,False
2026,3,ATD_longshot,Yes,Luther Burden III,0.5,4500,fanduel,0.056,0.0339366515837104,,,2026-09-20,WR/TE,CHI,0.65,False
2026,3,ATD_longshot,Yes,Foster Moreau,0.5,4000,draftkings,0.046,0.0333333333333333,,,2026-09-20,WR/TE,HOU,0.36,False
2026,3,ATD_longshot,Yes,Blake Whiteheart,0.5,4000,betmgm,0.037,0.024390243902439,,,2026-09-20,WR/TE,CLE,0.43,False
2026,3,ATD_longshot,Yes,Kalif Raymond,0.5,4500,fanduel,0.042,0.0344827586206896,,,2026-09-20,WR/TE,CHI,0.61,False
2026,3,ATD_longshot,Yes,Cody White,0.5,3500,fanatics,0.039,0.0409698996655518,,,2026-09-20,WR/TE,LV,0.14,False
2026,3,ATD_longshot,Yes,Makai Lemon,0.5,3000,draftkings,0.026,0.032258064516129,,,2026-09-20,WR/TE,PHI,0.64,False
2026,3,ATD_longshot,Yes,Ted Hurst III,0.5,2800,betmgm,0.041,0.0526315789473684,,,2026-09-20,WR/TE,TB,0.74,False
2026,3,RECV_under_combo,Under,Woody Marks,4.5,-255,draftkings,0.986,0.718,,,2026-09-20,RB,HOU,0.49,False
2026,3,RECV_under_combo,Under,Isaiah Likely,4.5,-122,fanduel,0.744,0.552,,,2026-09-20,WR/TE,NYG,0.59,False
2026,3,RECV_under_combo,Under,Davante Adams,5.5,-148,fanduel,0.781,0.601,,,2026-09-20,WR/TE,LA,0.59,False
2026,3,RECV_under_combo,Under,Breece Hall,5.5,-225,draftkings,0.975,0.692,,,2026-09-20,RB,NYJ,0.61,False
2026,3,RECV_under_combo,Under,Denzel Boston,5.5,-650,draftkings,1.0,0.867,,,2026-09-20,WR/TE,CLE,0.93,False
2026,3,RECV_under_combo,Under,KC Concepcion,6.5,-450,draftkings,1.0,0.818,,,2026-09-20,WR/TE,CLE,0.68,False
2026,3,RECV_under_combo,Under,Adonai Mitchell,5.5,-155,draftkings,0.973,0.608,,,2026-09-20,WR/TE,NYJ,0.75,False
2026,3,RECV_under_combo,Under,Ashton Jeanty,4.5,-170,fanatics,0.67,0.632,,,2026-09-20,RB,LV,0.78,False
2026,3,RECV_under_combo,Under,CeeDee Lamb,5.5,115,betmgm,0.509,0.478,,,2026-09-20,WR/TE,DAL,0.78,False
