team,xwoba_batting,n_bip,off_z
ATH,0.32010699123234293,2053,0.077
ATL,0.33197476885406463,2042,1.063
AZ,0.31656500411734434,1943,-0.217
BAL,0.32070118598914654,2027,0.127
BOS,0.3078010668047644,1931,-0.944
CHC,0.32784373933876376,2087,0.72
CIN,0.33374676702508965,1953,1.21
CLE,0.31451962880618656,2069,-0.387
COL,0.3012327872968981,2031,-1.49
CWS,0.32737649898785426,1976,0.681
DET,0.3268091690629648,2017,0.634
HOU,0.3245494623237725,2057,0.446
KC,0.31255823353293416,2004,-0.549
LAA,0.31706780595533496,2015,-0.175
LAD,0.35134723151750974,2056,2.671
MIA,0.30291572156862745,2040,-1.35
MIL,0.3138536632177962,1933,-0.442
MIN,0.3119025241581259,2049,-0.604
NYM,0.31563344595274007,1989,-0.294
NYY,0.3402722859990035,2007,1.752
PHI,0.31526371918489066,2012,-0.325
PIT,0.32373346768060834,2104,0.378
SD,0.31372190548302875,1915,-0.453
SEA,0.32483233381853466,2061,0.47
SF,0.2964114393092941,1969,-1.89
STL,0.32577899491869916,1968,0.548
TB,0.3070179714878175,1929,-1.009
TEX,0.31794444845099035,1969,-0.102
TOR,0.301726501001001,1998,-1.449
WSH,0.3300541186200378,2116,0.903
